,GS10,GS2,T10Y2YM,BAMLC0A2CAAEY,BAMLC0A4CBBBEY,FEDFUNDS,CORESTICKM159SFRBATL,DPCCRV1Q225SBEA,EXPINF1YR,EXPINF5YR,PCOPPUSDM,POILWTIUSDM,PCOALAUUSDM,PALUMUSDM,PIORECRUSDM,RTWEXBGS,UNRATE,A191RP1Q027SBEA,B075RC1Q027SBEA,China GDP Growth,GOLD
2020-11-01,0.87,0.17,0.7,1.505,2.31,0.09,1.786708,2.066666666666667,1.42002946,1.23965611,7068.90714285714,41.3890476190476,62.9464285714284,1935.28333333333,123.52380952381,105.8788,6.7,8.299999999999999,234.22333333333333,10.533333333333333,1866.3
2020-12-01,0.93,0.14,0.79,1.49,2.18,0.09,1.694452,2.6333333333333337,1.64952129,1.30246527,7772.2380952381,47.0704347826087,80.5897959183672,2014.6719047619,153.065217391304,103.8776,6.7,10.0,241.92366666666666,10.4,1858.42
2021-01-01,1.08,0.13,0.95,1.5150000000000001,2.165,0.09,1.504532,3.2,1.4460926,1.24288849,7972.1475,51.8495238095238,90.995357142857,2003.9755,166.738095238095,103.1945,6.3,11.7,249.624,7.733333333333334,1866.98
2021-02-01,1.26,0.12,1.14,1.54,2.15,0.08,1.520784,4.133333333333334,1.67548668,1.31345304,8470.94,59.2345,92.4857142857141,2078.5935,162.325,103.9274,6.2,12.4,260.21233333333333,5.066666666666667,1808.17
2021-03-01,1.61,0.15,1.46,1.78,2.35,0.07,1.694673,5.066666666666666,1.51383809,1.36586039,8988.24782608696,62.1839130434783,95.2309006211178,2190.48260869565,166.739130434783,105.499,6.1,13.1,270.80066666666664,2.4,1718.23
2021-04-01,1.64,0.16,1.47,1.9,2.49,0.07,2.284027,6.0,1.75471736,1.47891829,9324.8175,61.4177272727273,97.8476785714283,2319.3925,178.25,105.1938,6.1,13.8,281.389,3.3333333333333335,1760.04
2021-05-01,1.62,0.16,1.47,1.8599999999999999,2.4400000000000004,0.06,2.623896,5.6,1.86820734,1.48598552,10166.285,65.1609523809524,104.207142857143,2434.7765,202.857142857143,104.2536,5.8,12.200000000000001,280.408,4.266666666666667,1850.26
2021-06-01,1.52,0.2,1.32,1.82,2.39,0.08,2.604632,5.2,2.05518859,1.52568217,9631.5,71.3772727272727,132.152922077922,2446.64545454545,215.815789473684,105.2369,5.9,10.6,279.427,5.2,1834.57
2021-07-01,1.32,0.22,1.1,1.78,2.31,0.1,2.325734,4.8,2.07311612,1.55335025,9450.82045454546,72.5918181818182,153.198214285714,2497.63545454545,214.340909090909,106.6759,5.4,9.0,278.446,3.7333333333333334,1807.84
2021-08-01,1.28,0.22,1.06,1.745,2.27,0.09,2.353165,4.8,2.46241259,1.54992943,9370.13857142857,67.8722727272727,173.568367346938,2602.99190476191,162.090909090909,107.0262,5.2,10.766666666666667,287.231,2.2666666666666666,1785.28
2021-09-01,1.37,0.24,1.13,1.71,2.23,0.08,2.649506,4.8,2.68413713,1.63260191,9324.70954545455,71.535,188.122889610389,2834.55681818182,113.71875,107.2214,4.8,12.533333333333333,296.016,0.8,1775.14
2021-10-01,1.58,0.39,1.19,1.81,2.33,0.08,3.04294,4.8,1.85436755,1.51670347,9829.21904761905,81.3642857142857,240.732142857142,2934.39380952381,114.47619047619,108.1106,4.5,14.3,304.801,2.666666666666667,1776.85
